date,symbol,open,high,low,close,adj_close,volume,daily_return
2025-09-15,BTC-USD,115399.6328,116747.8828,114461.0625,115444.875,115444.875,52937859416,0.000322
2025-09-16,BTC-USD,115423.7578,117005.2734,114813.0938,116843.1875,116843.1875,45781744593,0.012112
2025-09-17,BTC-USD,116840.5078,117328.6094,114794.9766,116468.5078,116468.5078,60528025996,-0.003207
2025-09-18,BTC-USD,116461.2656,117911.7891,116188.7969,117137.2031,117137.2031,49457272032,0.005741
2025-09-19,BTC-USD,117137.6719,117479.7578,115141.8203,115688.8594,115688.8594,38828473971,-0.012365
2025-09-20,BTC-USD,115691.125,116191.1484,115473.5234,115721.9609,115721.9609,22864449614,0.000286
2025-09-21,BTC-USD,115730.2266,115901.0859,115252.5781,115306.0938,115306.0938,22495852193,-0.003594
2025-09-22,BTC-USD,115309.2188,115431.3125,112037.6484,112748.5078,112748.5078,70684158591,-0.022181
2025-09-23,BTC-USD,112757.4766,113351.9141,111535.5703,112014.5,112014.5,47211853279,-0.00651
2025-09-24,BTC-USD,112007.6641,113986.2734,111229.6406,113328.6328,113328.6328,48044595085,0.011732
2025-09-25,BTC-USD,113330.1641,113541.0859,108713.3984,109049.2891,109049.2891,75528654284,-0.03776
2025-09-26,BTC-USD,109041.2969,110359.1953,108728.9766,109712.8281,109712.8281,57738288949,0.006085
2025-09-27,BTC-USD,109707.1406,109778.5,109144.2969,109681.9453,109681.9453,26308042910,-0.000281
2025-09-28,BTC-USD,109681.9453,112375.4844,109236.9453,112122.6406,112122.6406,33371048505,0.022252
2025-09-29,BTC-USD,112117.875,114473.5703,111589.9531,114400.3828,114400.3828,60000147466,0.020315
2025-09-30,BTC-USD,114396.5234,114836.6172,112740.5625,114056.0859,114056.0859,58986330258,-0.00301
2025-10-01,BTC-USD,114057.5938,118648.9297,113981.3984,118648.9297,118648.9297,71328680132,0.040268
2025-10-02,BTC-USD,118652.3828,121086.4062,118383.1562,120681.2578,120681.2578,71415163912,0.017129
2025-10-03,BTC-USD,120656.9844,123944.7031,119344.3125,122266.5312,122266.5312,83941392228,0.013136
2025-10-04,BTC-USD,122267.4688,122857.6406,121577.5703,122425.4297,122425.4297,36769171735,0.0013
2025-10-05,BTC-USD,122419.6719,125559.2109,122191.9609,123513.4766,123513.4766,73689317763,0.008887
2025-10-06,BTC-USD,123510.4531,126198.0703,123196.0469,124752.5312,124752.5312,72568881188,0.010032
2025-10-07,BTC-USD,124752.1406,125184.0234,120681.9688,121451.3828,121451.3828,76149412513,-0.026462
2025-10-08,BTC-USD,121448.3516,124167.0938,121119.1797,123354.8672,123354.8672,65354305286,0.015673
2025-10-09,BTC-USD,123337.0703,123739.3438,119812.0312,121705.5859,121705.5859,74653009425,-0.01337
2025-10-10,BTC-USD,121704.7422,122509.6641,104582.4141,113214.3672,113214.3672,153125018868,-0.069769
2025-10-11,BTC-USD,113236.4297,113429.7266,109760.5625,110807.8828,110807.8828,110236934340,-0.021256
2025-10-12,BTC-USD,110811.5156,115805.0625,109715.5391,115169.7656,115169.7656,93710414091,0.039364
2025-10-13,BTC-USD,115161.6797,116020.4844,113821.1875,115271.0781,115271.0781,71582026739,0.00088
2025-10-14,BTC-USD,115264.8828,115502.8828,110029.4844,113118.6641,113118.6641,92212917403,-0.018673
2025-10-15,BTC-USD,113113.9688,113622.3828,110235.8359,110783.1641,110783.1641,72574132855,-0.020646
2025-10-16,BTC-USD,110782.1719,111990.8125,107537.0312,108186.0391,108186.0391,87306423067,-0.023443
2025-10-17,BTC-USD,108179.1328,109235.8047,103598.4297,106467.7891,106467.7891,99703051669,-0.015882
2025-10-18,BTC-USD,106483.7344,107490.9844,106387.4531,107198.2656,107198.2656,37779905278,0.006861
2025-10-19,BTC-USD,107204.3125,109488.9922,106157.7891,108666.7109,108666.7109,47657008953,0.013698
2025-10-20,BTC-USD,108667.4453,111711.0312,107485.0156,110588.9297,110588.9297,63507793085,0.017689
2025-10-21,BTC-USD,110587.6328,113996.3438,107534.75,108476.8906,108476.8906,101194375480,-0.019098
